
강릉
	7
	7
	7
	7
	10
	10
	11
	11
	9
	9
	13
	13
	13

거창
	6
	6
	3
	3
	4
	4
	6
	6
	4
	4
	6
	7
	10

경주
	8
	8
	5
	5
	6
	6
	8
	8
	7
	7
	7
	9
	12

고창
	8
	8
	6
	6
	5
	5
	7
	7
	5
	5
	7
	10
	13

광양
	10
	10
	8
	8
	8
	8
	10
	10
	9
	9
	10
	11
	14

광주
	10
	10
	8
	8
	8
	8
	9
	9
	8
	8
	9
	11
	12

군산
	9
	9
	7
	7
	6
	6
	8
	8
	7
	7
	8
	9
	11

나주
	9
	9
	6
	6
	4
	4
	7
	7
	5
	5
	7
	9
	12

남원
	8
	8
	6
	6
	5
	5
	7
	7
	5
	5
	7
	9
	12

대구
	8
	8
	6
	6
	8
	8
	10
	10
	8
	8
	10
	11
	13

대전
	8
	8
	6
	6
	6
	6
	7
	7
	7
	7
	8
	9
	11

목포
	10
	10
	9
	9
	8
	8
	10
	10
	8
	8
	10
	11
	13

무주
	6
	6
	3
	3
	3
	3
	5
	5
	4
	4
	6
	7
	10

부산
	10
	10
	9
	9
	10
	10
	12
	12
	10
	10
	12
	13
	14

서귀포
	12
	12
	11
	11
	11
	11
	12
	12
	11
	11
	13
	13
	15

서울
	8
	8
	8
	8
	8
	8
	9
	9
	9
	9
	10
	11
	12

세종
	8
	8
	5
	5
	5
	5
	7
	7
	6
	6
	7
	8
	11

수원
	7
	7
	6
	6
	6
	6
	7
	7
	7
	7
	8
	9
	11

순천
	10
	10
	8
	8
	8
	8
	10
	10
	8
	8
	9
	11
	13

안동
	7
	7
	4
	4
	5
	5
	8
	8
	6
	6
	7
	9
	10

여수
	10
	10
	9
	9
	10
	10
	11
	11
	10
	10
	11
	12
	13

영동
	6
	6
	3
	3
	3
	3
	5
	5
	4
	4
	5
	7
	10

울릉도
	6
	6
	7
	7
	10
	10
	10
	10
	10
	10
	12
	12
	12

울산
	9
	9
	7
	7
	8
	8
	10
	10
	9
	9
	10
	12
	13

울진
	8
	8
	6
	6
	8
	8
	10
	10
	8
	8
	11
	11
	11

원주
	7
	7
	5
	5
	6
	6
	7
	7
	7
	7
	8
	9
	11

이천
	6
	6
	4
	4
	4
	4
	6
	6
	5
	5
	6
	8
	10

인천
	8
	8
	8
	8
	9
	9
	10
	10
	9
	9
	10
	11
	12

전주
	10
	10
	7
	7
	7
	7
	8
	8
	7
	7
	8
	10
	12

정읍
	9
	9
	6
	6
	6
	6
	8
	8
	6
	6
	8
	10
	12

제주
	11
	11
	11
	11
	10
	10
	12
	12
	11
	11
	12
	13
	15

진주
	8
	8
	5
	5
	5
	5
	7
	7
	5
	5
	7
	9
	11

창원
	9
	9
	7
	7
	8
	8
	10
	10
	9
	9
	10
	11
	13

청주
	9
	9
	7
	7
	7
	7
	9
	9
	8
	8
	9
	10
	12

춘천
	6
	6
	4
	4
	4
	4
	7
	7
	5
	5
	6
	8
	11

충주
	6
	6
	4
	4
	4
	4
	6
	6
	5
	5
	6
	8
	10

통영
	10
	10
	8
	8
	9
	9
	10
	10
	9
	9
	11
	12
	13

파주
	5
	5
	3
	3
	4
	4
	5
	5
	4
	4
	6
	8
	10

평택
	7
	7
	5
	5
	5
	5
	7
	7
	6
	6
	7
	9
	12

포항
	10
	10
	9
	9
	10
	10
	11
	11
	10
	10
	12
	12
	13

홍성
	7
	7
	5
	5
	5
	5
	7
	7
	6
	6
	7
	8
	10
